Asset,Ticker,Close Price,Daily Perf,Volatility (30d),Max Drawdown (1y),Last Update
LVMH (Luxury),MC.PA,634.5,0.016826923076923076,0.14234735908164717,-0.411487667644944,2026-01-08 19:41
TotalEnergies (Energy),TTE.PA,53.380001068115234,-0.021986088726304916,0.1425355574382761,-0.20252850848764722,2026-01-08 19:41
Airbus (Industrial),AIR.PA,215.1999969482422,0.009380863173677872,0.27199874187410467,-0.23454525868740653,2026-01-08 19:41
BNP Paribas (Banking),BNP.PA,82.5,0.016761161210029126,0.1912039488704772,-0.2181907295406887,2026-01-08 19:41
Sanofi (Health),SAN.PA,82.88999938964844,-0.002767124029517091,0.15962336396870797,-0.2616825051244491,2026-01-08 19:41
NVIDIA (AI Boom),NVDA,184.67730712890625,-0.022871390852347885,0.2874168118602409,-0.3593351954658573,2026-01-08 19:41
Tesla (High Vol),TSLA,434.2499084472656,0.014768574018303558,0.3683262583153979,-0.4819018262157127,2026-01-08 19:41
Apple (Quality),AAPL,257.2699890136719,0.0010700359995687082,0.12558644066797608,-0.30222577832657394,2026-01-08 19:41
Microsoft (Big Tech),MSFT,477.68499755859375,-0.0060198455889730355,0.18518728779584204,-0.20556588599779343,2026-01-08 19:41
S&P 500 (US Market),SPY,689.260009765625,0.0006387770923139671,0.08585508366359207,-0.18755240821113944,2026-01-08 19:41
MSCI World (Global),CW8.PA,617.37158203125,0.0026580556830697565,0.07467974005335874,-0.21656396541249756,2026-01-08 19:41
Nasdaq 100 (Tech),QQQ,619.77001953125,-0.005200542822087043,0.12323645188108188,-0.22768306876309566,2026-01-08 19:41
Gold (Safe Haven),GLD,409.0,0.0050004390559913745,0.1887940237301258,-0.10127740838500278,2026-01-08 19:41
Bitcoin (BTC),BTC-USD,91086.9140625,-0.002123001421610708,0.22470685200989932,-0.3214698048461442,2026-01-08 19:41
Ethereum (ETH),ETH-USD,3122.228515625,-0.013773541705402062,0.3577826399825776,-0.5761348095350769,2026-01-08 19:41
